Marker	Combined Mutationrate	References
DYS19	2.24e-03 (53 in 23679)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Pestoni1999, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS389I	2.43e-03 (52 in 21397)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Pestoni1999, Lessig1998, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS389II	4.99e-03 (107 in 21450)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Pestoni1999, Lessig1998, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS390	2.08e-03 (47 in 22557)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Pestoni1999, Lessig1998, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS391	2.34e-03 (54 in 23071)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS392	4.45e-04 (10 in 22473)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS393	1.27e-03 (27 in 21323)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Bianchi1998, Budowle2005, Dupuy2001, Pestoni1999, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS385	2.78e-03 (111 in 39944)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Tsai2002, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Kayser2000, Heyer1997, Dupuy2004, Budowle2005, Dupuy2001, Lessig1998, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Sergey Kravchenko(1), Ludmila A. Livshits (1), Svetlana A. Limborska(2), Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS439	4.44e-03 (81 in 18235)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Budowle2005, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Hao2024, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
DYS438	3.95e-04 (7 in 17731)	Pontes2007, Sánchez-Diz2008, Turrina2006, Berger2005, Goedbloed2009, Hohoff2007, Lee2007, Domingues2007, Decker2008, Ballard2005a, Kurihara2004, Gusmão2005, Budowle2005, Ge2009, Adnan2018, Laouina2013, Bugoye2018, Petrovic2018, Mertoglu2018, Lin2020, Ambrosio2020, Fu2020, Fan2020a, FanH2021, Otagiri2022, Lee2023, Liu2023, Landeskriminalamt BW; FB230 - Molekulargenetische Untersuchungen, Maria Seidel, Josephine Purps, Patricia Entz, Carmen Krüger, Petra Otremba, Marion Nagy, Lutz Roewer, Chris Tyler-Smith, Wei Wei, Xue Y, Ayub Q, Mohyuddin A, Qamar R, Zerjal T, Helgason A, Mehdi SQ, Sheila Marie Tabulina Angustia
